Date,Open,High,Low,Close,Adj Close,Volume
2017/11/15,"23,334.59","23,344.99","23,242.75","23,271.28","23,271.28","404,300,000"
2017/11/16,"23,365.34","23,492.19","23,365.34","23,458.36","23,458.36","402,020,000"
2017/11/17,"23,433.77","23,433.77","23,356.01","23,358.24","23,358.24","386,000,000"
2017/11/20,"23,370.71","23,456.88","23,360.58","23,430.33","23,430.33","315,330,000"
2017/11/21,"23,500.15","23,617.80","23,500.15","23,590.83","23,590.83","329,650,000"
2017/11/22,"23,597.24","23,605.77","23,507.61","23,526.18","23,526.18","268,760,000"
2017/11/24,"23,552.75","23,599.18","23,551.59","23,557.99","23,557.99","118,610,000"
2017/11/27,"23,552.86","23,638.92","23,545.02","23,580.78","23,580.78","296,320,000"
2017/11/28,"23,625.19","23,849.61","23,617.11","23,836.71","23,836.71","319,240,000"
2017/11/29,"23,883.26","23,959.76","23,872.59","23,940.68","23,940.68","401,410,000"
2017/11/30,"24,013.80","24,327.82","24,013.80","24,272.35","24,272.35","488,200,000"
2017/12/01,"24,305.40","24,322.06","23,921.90","24,231.59","24,231.59","417,910,000"
2017/12/04,"24,424.11","24,534.04","24,288.19","24,290.05","24,290.05","424,250,000"
2017/12/05,"24,335.01","24,349.74","24,155.28","24,180.64","24,180.64","371,190,000"
2017/12/06,"24,171.90","24,229.35","24,134.49","24,140.91","24,140.91","312,720,000"
2017/12/07,"24,116.60","24,262.88","24,101.24","24,211.48","24,211.48","319,060,000"
2017/12/08,"24,263.26","24,330.12","24,225.50","24,329.16","24,329.16","293,590,000"
2017/12/11,"24,338.11","24,389.72","24,314.74","24,386.03","24,386.03","300,580,000"
2017/12/12,"24,452.96","24,552.97","24,443.83","24,504.80","24,504.80","342,220,000"
2017/12/13,"24,525.19","24,666.02","24,518.30","24,585.43","24,585.43","325,280,000"
2017/12/14,"24,631.01","24,672.48","24,508.66","24,508.66","24,508.66","314,780,000"
2017/12/15,"24,585.71","24,688.62","24,584.44","24,651.74","24,651.74","635,740,000"
2017/12/18,"24,739.56","24,876.07","24,739.56","24,792.20","24,792.20","354,880,000"
2017/12/19,"24,834.38","24,850.11","24,715.60","24,754.75","24,754.75","335,330,000"
2017/12/20,"24,838.09","24,852.44","24,697.11","24,726.65","24,726.65","341,790,000"
2017/12/21,"24,778.26","24,850.91","24,766.27","24,782.29","24,782.29","339,530,000"
2017/12/22,"24,764.04","24,784.15","24,717.51","24,754.06","24,754.06","255,140,000"
2017/12/26,"24,715.84","24,778.13","24,708.42","24,746.21","24,746.21","208,290,000"
2017/12/27,"24,766.52","24,789.52","24,731.68","24,774.30","24,774.30","225,890,000"
